title,price,stock,model,description,FirmCode,Número de Cuerdas,Guitarra Serie,Forma de Cuerpo,Material Cuerpo,Origen,Acabado de Cuerpo,Material Mastil,Frets Size,Material Diapason,Escala,Numero de Trastes,Radio Diapason,Forma de Mastil,Pastilla Mastil,Pastilla Puente,Código de barras,Estuche ó Funda,Ajuste de pastillas,Acabado Mastil,Pastilla Media,scale,radius
"Fender Vintera '60s, Mustang, Lake Placid Blue, Guitarra Eléctrica con gig bag",23291.99,Disponible,0149783302,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Mustang,Alder,México,Gloss Polyester,Maple,Vintage,Pau Ferro,"24"" (610 mm)",22.0,"7.25"" (184.1 mm)","'60s ""C""",Vintage-Style '60s Single-Coil Mustang,Vintage-Style '60s Single-Coil Mustang,885978077977.0,Gig Bag,SS,Gloss Urethane,,610.0,184.1
"Fender 75th Anniversary, Telecaster, Diamond Anniversary, Guitarra Eléctrica con gig bag",18459.0,Disponible,0147532360,En 1964 Leo Fender cambió la historia con la primera guitarra eléctrica de cuerpo solido que se podía comercializar en masa; la Fender Telecaster. Por eso este año Fender lo festeja con la 75th Anniversary Telecaster. Su cuerpo de madera de aliso esta decorado con un hermoso y deslumbrante color,Fender,6.0,75th Anniversary,Telecaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Vintage-Style '50s Single-Coil Tele,Vintage-Style '50s Single-Coil Tele,885978685141.0,Gig Bag,SS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",,648.0,241.0
"Fender Player Plus, Telecaster, 3-Color Sunburst, Guitarra Eléctrica con gig bag",23256.0,Disponible,0147332300,"Fender presenta la nueva expansión de la famosa línea Player; la impactante Player Plus. Estás guitarras fueron construidas con la idea de consentir a los músicos más exigentes, combinando las características únicas de los guitarristas y creadores de hoy con una linea visualmente impactante. Estos",Fender,6.0,Player Plus,Telecaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"12"" (305 mm)","Modern ""C""",Player Plus Noiseless Tele,Player Plus Noiseless Tele,885978742332.0,Gig Bag,SS,Satin Urethane,,648.0,305.0
"Fender Player, Jazzmaster, 3-Color Sunburst, Guitarra Eléctrica",17577.0,Disponible,0146903500,"La Jazzmaster no es solo una guitarra, es un instrumento fuera de lo común. Gracias a su cuerpo offset, su cableado único y su sonido tan especial, esta guitarra ha construido el sonido de músicos tan importantes como Elvis Costello, Thurston Moore y J. Mascis. Ahora Fender nos presenta la PLAYER",Fender,6.0,Player,Jazzmaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Player Series Alnico 2 Humbucking,Alnico 2 Humbucking,885978911035.0,NO INCLUYE,HH,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,,648.0,241.0
"Fender Player, Telecaster, 3-Color Sunburst, Guitarra Eléctrica",16983.0,Disponible,0145213500,"Audaz, innovadora y resistente, la Player Telecaster es una auténtica Fender, de principio a fin. La sensación, el estilo y, lo más importante, el sonido: lo tiene todo, esperando que la utilices para hacer tu música. Lo suficientemente versátil para casi cualquier cosa que puedas crear y lo",Fender,6.0,Player,Telecaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Player Series Alnico 5 Tele Single-Coil,Player Series Alnico 5 Tele Single-Coil,885978910991.0,NO INCLUYE,SS,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,,648.0,241.0
"Fender Player, Telecaster, Black, Guitarra Eléctrica",16983.0,Disponible,0145212506,"Audaz, innovadora y resistente, la Player Telecaster es una auténtica Fender, de principio a fin. La sensación, el estilo y, lo más importante, el sonido: lo tiene todo, esperando que la utilices para hacer tu música. Lo suficientemente versátil para casi cualquier cosa que puedas crear y lo",Fender,6.0,Player,Telecaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Player Series Alnico 5 Tele Single-Coil,Player Series Alnico 5 Tele Single-Coil,885978909919.0,NO INCLUYE,SS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",,648.0,241.0
"Fender Player, Stratocaster Plus Top, Aged Cherry Burst, Guitarra Eléctrica",18162.0,Disponible,0144562531,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster HSS Plus Top está repleta de auténtico estilo y sensación Fender.",Fender,6.0,Player,Stratocaster,Alder with Flame Maple Top,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 2 Humbucking,885978910977.0,NO INCLUYE,HSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Buttercream, Guitarra Eléctrica",17577.0,Disponible,0144533534,"La Fender Stratocaster es la guitarra mas famosa y popular de la historia. Mas que un instrumento ésta es un símbolo de la cultura pop. Conoce la Fender PLAYER STRATOCASTER® HSH. Esta moderna y atrevida versión de la clásica Strat que incluye todas las características que amamos de ella, pero con un",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Player Series Alnico 2 Humbucking,Alnico 2 Humbucking,885978909827.0,NO INCLUYE,HSH,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Capri Orange, Guitarra Eléctrica",17577.0,Disponible,0144523582,"La Fender Stratocaster es la guitarra mas famosa y popular de la historia. Mas que un instrumento ésta es un símbolo de la cultura pop. Conoce la Fender PLAYER STRATOCASTER® HSS. Esta moderna versión de la clásica Strat incluye todas las características que amamos de ella, pero con un toque moderno.",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 2 Humbucking,885978256259.0,NO INCLUYE,HSS,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Silver, Guitarra Eléctrica",17577.0,Disponible,0144522581,"La Fender Stratocaster es la guitarra mas famosa y popular de la historia. Mas que un instrumento ésta es un símbolo de la cultura pop. Conoce la Fender PLAYER STRATOCASTER® HSS. Esta moderna y atrevida versión de la clásica Strat que incluye todas las características que amamos de ella, pero con un",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 2 Humbucking,885978256266.0,NO INCLUYE,HSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Tidepool, Guitarra Eléctrica",17577.0,Disponible,0144522513,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster HSS está repleta de auténtico estilo y sensación Fender. Está",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 2 Humbucking,885978909742.0,NO INCLUYE,HSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, 3-Color Sunburst, Guitarra Eléctrica",17577.0,Disponible,0144522500,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster HSS está repleta de auténtico estilo y sensación Fender. Está",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 2 Humbucking,885978910939.0,NO INCLUYE,HSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Polar White, Guitarra Eléctrica",16983.0,Disponible,0144503515,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster está repleta de auténtico estilo y sensación Fender. Está lista",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 5 Strat Single-Coil,885978926374.0,NO INCLUYE,SSS,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, 3-Color Sunburst, Guitarra Eléctrica",16983.0,Disponible,0144503500,"La Fender Stratocaster es la guitarra mas famosa y popular de la historia. Mas que un instrumento ésta es un símbolo de la cultura pop. Conoce la Fender Player Stratocaster®. Esta moderna versión de la clásica Strat incluye todas las características que amamos de ella, pero con un toque moderno. Su",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 5 Strat Single-Coil,885978910885.0,NO INCLUYE,SSS,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Capri Orange, Guitarra Eléctrica",16983.0,Disponible,0144502582,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster está repleta de auténtico estilo y sensación Fender. Está lista",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 5 Strat Single-Coil,885978256228.0,NO INCLUYE,SSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Player, Stratocaster, Tidepool, Guitarra Eléctrica",16983.0,Disponible,0144502513,"El sonido inspirador de una Stratocaster es uno de los fundamentos de Fender. Con este clásico sonido de agudos campanilleantes, medios pronunciados y bajos robustos, combinados con una articulación cristalina, la Player Stratocaster está repleta de auténtico estilo y sensación Fender. Está lista",Fender,6.0,Player,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Alnico 5 Strat Single-Coil,Alnico 5 Strat Single-Coil,885978911349.0,NO INCLUYE,SSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Alnico 5 Strat Single-Coil,648.0,241.0
"Fender Artist EOB, Stratocaster, Olympic White, Guitarra Eléctrica con gig bag, outlet",32520.0,Disponible,0140192305-o,"PRODUCTO OUTLET PRESENTA: GOLPE NE LA PARTE BAJA DEL CUERPO FOTOS REALES DEL PRODUCTO CON SUS DETALLES SERIE: MX20127674  El estilo ambiental, etéreo y orquestal de la guitarra de Ed O'Brien es una parte esencial de la identidad sónica de Radiohead. Nos asociamos con este innovador músico para crear",Fender,6.0,Artist,Stratocaster,Alder,México,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","10/56 ""V"" Back-Shape",Sustainer Driver,Seymour Duncan JB Jr. SJBJ-1B,885978847556.0,Gig Bag,HSH,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Custom Shop Texas Special Single-Coil Strat,648.0,241.0
"Fender Artist EOB, Stratocaster, Olympic White, Guitarra Eléctrica con gig bag",32520.0,Disponible,0140192305,"El estilo ambiental, etéreo y orquestal de la guitarra de Ed O'Brien es una parte esencial de la identidad sónica de Radiohead. Nos asociamos con este innovador músico para crear la Ed O'Brien Stratocaster - un instrumento tan único como su sonido. Esta guitarra inspiradora es perfecta para crear",Fender,6.0,Artist,Stratocaster,Alder,México,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","10/56 ""V"" Back-Shape",Sustainer Driver,Seymour Duncan JB Jr. SJBJ-1B,885978847556.0,Gig Bag,HSH,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,Custom Shop Texas Special Single-Coil Strat,648.0,241.0
"Fender American Ultra, Stratocaster, Texas Tea, Guitarra Eléctrica con case",46017.0,Disponible,0118012790,"La serie American Ultra de guitarras y bajos es la más avanzada para músicos exigentes que exigen lo último en precisión, rendimiento y tono. La American Ultra Stratocaster presenta un perfil exclusivo de mástil de ""D moderna"" con bordes de diapasón redondeados para horas de comodidad, y la forma",Fender,6.0,American Ultra,Stratocaster,Alder,EEUU,Gloss Polyurethane,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",22.0,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)","Modern ""D""",Ultra Noiseless Vintage Strat,Ultra Noiseless Vintage Strat,885978195237.0,CASE,SSS,Satin Urethane with Gloss Urethane Headstock Face,Ultra Noiseless Vintage Strat,648.0,254.0
"Fender Eric Clapton, Stratocaster, Black, Guitarra Eléctrica con case",44514.0,Disponible,0117602806,"Experimenta una Strat sin igual al estilo del propio slowhand con la guitarra eléctrica Eric Clapton Stratocaster, uno de nuestros artistas con mayor renombre en la gama Stratocaster Signature. Con un diseño clásico y características especiales que la dotan de excepcional versatilidad tonal, y la",Fender,6.0,Artist,Stratocaster,Alder,EEUU,Urethane,Maple,Vintage Style,Maple,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Soft ""V""",Vintage Noiseless Single-Coil Strat,Vintage Noiseless Single-Coil Strat,717669132927.0,CASE,SSS,Satin Urethane,Vintage Noiseless Single-Coil Strat,648.0,241.0
"Fender American Performer, Mustang, 3-Color Sunburst, Guitarra Eléctrica con gig bag",29801.0,Disponible,0115510300,La palabra Mustang viene de la palabra española mesteño que quiere decir “salvaje y sin amo”. Así como los caballos la Fender Mustang es un instrumento musical que corre por los campos sonoros con tremenda fuerza. Desde 1964 esta guitarra ha moldeado la música moderna.,Fender,6.0,American Performer,Mustang,Alder,EEUU,Gloss Polyurethane,Maple,Jumbo,Rosewood,"24"" (610 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Yosemite Single-Coil Mustang,Yosemite Single-Coil Mustang,885978952793.0,Gig Bag,SS,Satin Urethane,,610.0,241.0
"Fender American Performer, Telecaster, Satin Sonic Blue, Guitarra Eléctrica con gig bag",29801.0,Disponible,0115110372,"La American Performer Telecaster, fabricada en Corona, California, combina el excepcional sonido y sensación Fender con materiales modernos y nuevas características orientadas al músico para inspirar y al mismo tiempo impulsar su estilo hacia nuevas metas.",Fender,6.0,American Performer,Telecaster,Alder,EEUU,Satin Polyurethane,Maple,Jumbo,Rosewood,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Yosemite Single-Coil Telecaster,Yosemite Single-Coil Telecaster,885978975570.0,Gig Bag,SS,Satin Urethane,,648.0,241.0
"Fender American Performer, Telecaster, Honey Burst, Guitarra Eléctrica con gig bag",31554.0,Disponible,0115110342,"La American Performer Telecaster, fabricada en Corona, California, combina el excepcional sonido y sensación Fender con materiales modernos y nuevas características orientadas al músico para inspirar y al mismo tiempo impulsar su estilo hacia nuevas metas.",Fender,6.0,American Performer,Telecaster,Alder,EEUU,Gloss,Maple,Jumbo,Rosewood,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Yosemite Single-Coil Telecaster,Yosemite Single-Coil Telecaster,885978952724.0,Gig Bag,SS,Satin Urethane,,648.0,241.0
"Fender American Performer, Stratocaster, Arctic White, Guitarra Eléctrica con gig bag",31554.0,Disponible,0114910380,"La Fender's American Performer Stratocaster es una expresión moderna y de la mas alta calidad de la guitarra mas famosa del mundo. Cuenta con un rango tonal muy extenso gracias a sus pastillas Yosemite single coil, ajustadas especialmente para obtener mayor volumen de salida. Y por si esto fuera",Fender,6.0,American Performer,Stratocaster,Alder,EEUU,Gloss,Maple,Jumbo,Rosewood,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Yosemite Single-Coil Stratocaster,Yosemite Singe-Coil Stratocaster,885978952656.0,Gig Bag,SSS,Satin Urethane,Yosemite Single-Coil Stratocaster,648.0,241.0
"Fender Jim Root Stratocaster, Flat Black, Guitarra Eléctrica",41157.0,Disponible,0114545706,"Para un estilo pesado y derretido de nu-metal Strat®, la Jim Root Stratocaster ofrece un sonido aplastante con una estética contundente y práctica a la vez. El imponente guitarrista de Slipknot ha colaborado con Fender para crear un modelo Strat signature que complementa su estilo de guitarra heavy,",Fender,6.0,Artist,Stratocaster,Mahogany,EEUU,Satin Nitrocellulose Lacquer,Maple,Jumbo,Ebony,"25.5"" (648 mm)",22.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)","Modern ""C""",EMG 60,EMG 81,717669867812.0,NO INCLUYE,HH,Satin Urethane,,648.0,304.8
