title,price,stock,model,description,FirmCode,Número de Cuerdas,Guitarra Serie,Forma de Cuerpo,Material Cuerpo,Origen,Acabado de Cuerpo,Material Mastil,Frets Size,Material Diapason,Escala,Numero de Trastes,Radio Diapason,Forma de Mastil,Pastilla Mastil,Pastilla Puente,Código de barras,Estuche ó Funda,Ajuste de pastillas,Acabado Mastil,Pastilla Media,scale,radius
"Gibson Custom 60th Anniversary 1961, Les Paul SG Standard, Cherry Red, Guitarra Eléctrica con case",118900.0,Disponible,SGSR60THVOCHNSP1,"Las guitarras Gibson son símbolo de calidad y superioridad musical. En 1961 la marca decidió hacer un cambio radical en la famosa Les Paul modificando la forma del cuerpo haciéndolo mas delgado, cómodo y con mas espacio para alcanzar las notas mas altas. Pero el creador del clásico modelo no estuvo",Gibson,6.0,Custom Shop,SG,1-Piece Solid Mahogany,EEUU,Gloss Nitrocellulose Lacquer,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Authentic '61 Thin Profile,Custombucker,Custombucker,711106061863.0,CASE,,,,629.0,305.0
"Gibson Custom Standard Axcess, Les Paul, DC Rust, Guitarra Eléctrica con case",123520.0,Disponible,LPXS7DCRCF1,"Las guitarras Gibson son símbolo de calidad y superioridad musical y la Les Paul es considerada por muchos la mejor guitarra eléctrica de la historia. La GIBSON CUSTOM LES PAUL AXCESS STANDARD FIGURED FLOYD ROSE GLOSS DC RUST, mantiene viva la reputación de estos magníficos instrumentos. Este modelo",Gibson,6.0,Custom Shop,Les Paul,Mahogany,EEUU,Nitrocellulose Gloss,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)","""Slim C""",490R Humbucker,498T Humbucker,711106926773.0,CASE,,,,629.0,305.0
"Gibson Custom 58, Flying V Reissue, Oxblood Gloss, Guitarra Eléctrica con case",126420.0,Disponible,FVM58CUS17137,"Las guitarras Gibson son símbolo de calidad y superioridad musical. Cuando la Flying V debutó en 1958 fue considerado una guitarra adelantada a su época. Nueve años después la demanda popular la trajo de regreso, pero esta vez contaba con una fantástica Vibrola. Por muchos años los coleccionistas",Gibson,6.0,Custom Shop,Flying V,Mahogany,EEUU,Nitrocellulose Lacquer,Solid Mahogany,Medium Jumbo,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Chunky C-Shape,Custombucker Alnico III (Unpotted),Custombucker Alnico III (Unpotted),,CASE,HH,,,629.0,305.0
"Squier Classic Vibe '60s Thinline, Telecaster , Natural, Guitarra Eléctrica",10557.0,Disponible,0374067521,"El Classic Vibe '60s Telecaster® Thinline es un guiño a los primeros modelos Tele semi-huecos de la década de 1960, creando un tono increíble por cortesía de las pastillas de una sola bobina alnico directa por Fender. Características reproductor ambiente incluido un perfil delgado, cómodo ""C"" en",Squier,6.0,Classic Vibe,Telecaster,Nato,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Alnico Single-Coil,Fender Designed Alnico Single-Coil,885978064533.0,NO INCLUYE,SS,Tinted Gloss Urethane,,648.0,241.0
"Squier Classic Vibe '70s Deluxe, Telecaster, Black, Guitarra Eléctrica",10557.0,Disponible,0374060506,"La guitarra eléctrica Squier Classic Vibe '70s Telecaster® Deluxe es un fiel guiño a la evolución de los años 70 del Tele®, creando un tono masivo por cortesía de las pastillas humbucking de amplio rango diseñadas por Fender. Las características amigables para el jugador incluyen un perfil de cuello",Squier,6.0,Classic Vibe,Telecaster,Poplar,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Wide Range Humbucking,Fender Designed Wide Range Humbucking,885978064519.0,NO INCLUYE,HH,Tinted Gloss Urethane,,648.0,241.0
"Squier Classic Vibe '60s Custom, Telecaster, 3-Color Sunburst, Guitarra Eléctrica",10557.0,Disponible,0374040500,"Un guiño a los modelos Tele® de doble filo de la década de 1960, el Telecaster Custom Classic Vibe ‘60s crea un tono increíble por cortesía de las pastillas de bobina simple alnico diseñadas por Fender. Las características amigables para el músico incluyen un perfil de cuello en forma de ""C"" delgado",Squier,6.0,Classic Vibe,Telecaster,Nato,Indonesia,Gloss Polyurethane,Maple,Narrow Tall,Indian Laurel,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Fender Designed Alnico Single-Coil,Fender Designed Alnico Single-Coil,885978064489.0,NO INCLUYE,SS,Tinted Gloss Urethane,,648.0,241.0
"Fender 60th Anniversary Ultra Luxe, Jaguar, Texas Tea, Guitarra Eléctrica con case",53865.0,Disponible,0170621790,"Hecha en la fabrica de Corona, California, la Fender 60th Anniversary Ultra Luxe Jaguar conmemora los 60 años de la guitarra mas fina de la marca de California. Este colosal instrumento está limitado a 500 copias e incluye un premiun molded hardshell case. Esta incluye pastillas tipo Fender Custom",Fender,6.0,Anniversary,Jaguar,Alder,EEUU,Gloss Urethane,Maple,Medium Jumbo Stainless Steel,Ebony,"25.5"" (648 mm)",22.0,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",Augmented “D”,Custom Double Tap Humbucking,Custom Double Tap Humbucking,885978893867.0,Gig Bag,HH,Ultra Satin Urethane with Gloss Headstock Face,,648.0,254.0
"Fender Vintera '50s  Modified, Stratocaster, Daphne Blue, Guitarra Eléctrica",25416.0,Disponible,0149962304,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","Modern ""C""",Vintage-Style '50s Single-Coil Hot Strat,Vintage-Style '50s Single-Coil Hot Strat,885978076086.0,Gig Bag,SSS,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front",Vintage-Style '50s Single-Coil Hot Strat,648.0,241.0
"Fender Vintera '60s Modified, Jaguar, Sonic Blue, Guitarra Eléctrica con gig bag",29133.0,Disponible,0149813372,"Para los músicos que aprecian el mojo del pasado combinado con las características modernas, creamos la Vintera '60 Jaguar Modified. Combinando estilos clásicos con un moderno perfil de mástil y radio en el diapasón, pastillas rediseñadas más cálidas y electrónica actualizada, esta guitarra ofrece",Fender,6.0,Vintera,Jaguar,Alder,México,Gloss,Maple,Medium Jumbo,Pau Ferro,"24"" (610 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",Atomic Humbucking,Atomic Humbucking,885978077953.0,Gig Bag,HH,Satin,,610.0,241.0
"Fender Vintera '60s, Jazzmaster, Ice Blue Metallic, Guitarra Eléctrica",25416.0,Disponible,0149753383,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Jazzmaster,Alder,México,Gloss Polyester,Maple,Vintage,Pau Ferro,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","Mid '60s ""C""",Vintage-Style '60s Single-Coil Jazzmaster,Vintage-Style '60s Single-Coil Jazzmaster,885978077892.0,Gig Bag,SS,Gloss Urethane,,648.0,184.1
"Fender Vintera '70s, Custom Telecaster, Fiesta Red, Guitarra Eléctrica con gig bag",23913.0,Disponible,0149723340,"Las guitarras y bajos Fender han estado presentes durante toda la historia de la música moderna. Desde los orígenes del rock en los años 50, pasando por las leyendas de los explosivos años 60, hasta la llegada del punk en los años 70, cientos de guitarristas han construido su sonido gracias a los",Fender,6.0,Vintera,Telecaster,Alder,México,Gloss Polyester,Maple,Vintage,Pau Ferro,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","Thin ""C""",Fender® Wide Range Humbucking,Vintage-Style '70s Single-Coil Tele,885978114078.0,Gig Bag,SH,Gloss Urethane,,648.0,184.1
"Fender Artist Ben Gibbard, Mustang, Guitarra Eléctrica con Gig bag",25443.0,Disponible,0141332321,"Desde finales de la década de 1990, Ben Gibbard ha sido una voz destacada en el rock indie como cantautor de la banda Death Cab for Cutie, que se vendió platino. Su estilo de composición melódico y personal y el poderoso sonido de la banda ayudaron a allanar el camino para las generaciones futuras",Fender,6.0,Artist,Mustang,Chambered Ash,México,Gloss Polyester,Maple,Medium Jumbo,Maple,"24"" (610 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Vintage-Style Single-Coil Mustang,Vintage-Style Single-Coil Mustang,885978484058.0,NO INCLUYE,SS,Gloss Urethane,,610.0,241.0
"Fender 30th Anniversary Screamadelica, Stratocaster, Custom Graphic, Guitarra Eléctrica con gig bag",25614.0,Disponible,0141063350,"El revolucionario álbum de 1991 de Primal Scream, ""Screamadelica"", contó con una nueva mezcla de composición de rock indie y producción inspirada en el acid house, que impulsó a la banda escocesa de rock 'n' roll al estrellato internacional. La Screamadelica 30th Anniversary Stratocaster de edición",Fender,6.0,Artist,Stratocaster,Alder,México,Gloss Polyester,Maple,Medium Jumbo,Pau Ferro,"25.5"" (648 mm)",22.0,"9.5"" (241 mm)","Modern ""C""",Vintage-Style '60s Single-Coil Strat,Vintage-Style '60s Single-Coil Strat,885978819188.0,Gig Bag,SSS,Polyurethane,Vintage-Style '60s Single-Coil Strat,648.0,241.0
"Fender Artist Troy Van Leeuwen, Jazzmaster, Copper Age, Guitarra Eléctrica con case",33867.01,Disponible,0140072794,"Troy Van Leeuwen ha contribuido hábilmente con el trabajo de guitarra texturizada y atmosférica a algunas de las bandas más aclamadas y progresistas del rock alternativo. Desde Failure to A Perfect Circle, Queens of the Stone Age, Eagles of Death Metal, Puscifer y otros, la experiencia",Fender,6.0,Artist,Jazzmaster,Alder,México,Gloss Polyester,Maple,Vintage Style,Maple,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","""C"" Shape",Pure Vintage '65 Single-Coil Jazzmaster,Pure Vintage '65 Single-Coil Jazzmaster,885978437245.0,CASE,SS,Gloss Polyester,,648.0,184.1
"Gibson Custom Standard '55, Les Paul, Sergio Vallin, Gold, Guitarra Eléctrica con case",202280.0,Disponible,LPR54SVGTMLNH1,"Sergio Vallín es el talentoso guitarrista de Maná (polinesio para ""energía positiva""), la banda de rock española más influyente en todo el mundo y una de las bandas más populares del mundo, independientemente del idioma o el género. Su nuevo modelo de artista Gibson tiene las características y el",Gibson,6.0,Custom Shop,Les Paul,2-Piece Plain Maple,EEUU,"Nitrocellulose Lacquer, Ultra-Light Aged",Mahogany,Vintage Tall,Indian Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)","'59 Rounded ""C""",P90 Soap Bar,Custombucker,,CASE,,,P-90,629.0,305.0
"Gibson Custom 1967, Flying V Reissue VOS, Sparkling Burgundy, Guitarra Eléctrica con case",126420.0,Disponible,FV67VOSBCM1,"Las guitarras Gibson son símbolo de calidad y superioridad musical. Cuando la Flying V debutó en 1958 fue considerado una guitarra adelantada a su época. Nueve años después la demanda popular la trajo de regreso, pero esta vez contaba con una fantástica Vibrola. Por muchos años los coleccionistas",Gibson,6.0,Custom Shop,Designer,1-Piece Solid Mahogany,EEUU,Gloss Nitrocellulose Lacquer,Solid Mahogany,Authentic Medium-Jumbo,"Indian Rosewood, Hide Glue Fit","24.75"" (629 mm)",22.0,"12"" (305 mm)",Authentic '67 Medium C-Shape,Custombucker Alnico III (Unpotted),Custombucker Alnico III (Unpotted),,CASE,,,,629.0,305.0
"Epiphone Emily Wolfe Sheraton Stealth, Black Aged Gloss, Guitarra Eléctrica con gig bag",22220.0,Disponible,ETSEWBAGGH3,"Emily Wolfe, una cantante, compositora y guitarrista de rock & roll de triple amenaza de Austin, Texas, está insuflando nueva vida al rock & roll clásico con sus habilidades de guitarra incendiarias y su composición original. Wolfe también prestó su creatividad al desarrollo de su nueva firma",Epiphone,6.0,Artist,,Layered Maple,China,Aged Gloss,Mahogany,Medium Jumbo,Indian Laurel,"24.72"" (628 mm)",22.0,"12"" (305 mm)",Slim Taper,Epiphone Alnico Classic PRO,Epiphone Alnico Classic PRO Humbucker,711106031019.0,Gig Bag,,,,628.0,305.0
"EVH Striped Series, Shark, Burgundy with Silver Stripes, Guitarra Eléctrica",45036.0,Disponible,5107922505,"Pocas marcas de guitarras pueden presumir que tuvieron a un músico encargado de diseñar, tocar y poner a prueba los prototipos de sus instrumentos. Y solo una marca puede presumir de tener las iniciales del mejor guitarrista de todos los tiempos en su nombre; EVH Brand Guitars. Estos veloces",EVH,6.0,Striped Series,Shark,Ash,Corea,Satin Urethane,Maple,Jumbo,Pau Ferro,"24.75"" (629 mm)",22.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)","EVH Modified ""C"" Backshape",EVH Wolfgang Shark Humbucking,EVH Wolfgang Shark Humbucking,885978063185.0,NO INCLUYE,HH,Satin Color Matched,,629.0,304.8
"Gretsch Artist Signature Rich Robinson Magpie con Bigsby, Raven's Breast Blue, Guitarra Eléctrica",97623.0,Disponible,2401613873,"A principios de 1990 el Heavy Metal aún convocaba a miles de jóvenes en estadios para presenciar conciertos de Warrant, Poison y Mötley Crúe. Pero dos hermanos originarios de Atlanta tenían una misión; regresar el blues rock a las masas. Chris y Rich Robinson habían crecido escuchando Humble Pie,",Gretsch,6.0,Artist,Falcon,Solid Spruce Top with Mahogany Back and Sides,Japón,Gloss Nitrocellulose Lacquer,Maple,Medium Jumbo,Ebony,"25.5"" (648 mm)",22.0,"12"" (305 mm)","Standard ""U""",Broad'Tron BT65,TV Jones Filter'Tron Classic,885978339198.0,CASE,Broad’Tron / Filter’Tron,Gloss Nitrocellulose Lacquer,,648.0,305.0
"Fender JV Modified '50s, Stratocaster, 2-Color Sunburst, Guitarra Eléctrica con Gig bag",28872.0,Disponible,0251802303,"En la primavera de 1982 nació Fender Japan Co. Ltd. Su producción se enfocó a  construir una serie de guitarras Vintage Reissue. Originalmente estas guitarras solo se venderían en Asia y Europa, pero estos hermosos instrumentos rápidamente se convirtieron en objetos muy buscados por los",Fender,6.0,JV Modified,Stratocaster,Basswood,Japón,Gloss Urethane,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","Thick Soft ""V""",Vintage-Style Single-Coil Strat,Hot Vintage Alnico Humbucking,885978982301.0,Gig Bag,HSS,Satin Urethane with Gloss Urethane Headstock Face,Vintage-Style Single-Coil Strat,648.0,241.0
"Fender Artist Brad Paisley Road Worn, Telecaster, Silver Sparkle, Guitarra Eléctrica con Gig bag",29988.0,Disponible,0145902317,El country no sería lo mismo sin Brad Paisley. Su paso por la musica tradicional norteamericana ha dejado un impacto tan grande que Fender ha decidido unir fuerzas con él para darle vida a la BRAD PAISLEY ROAD WORN TELECASTER®. Esta Tele tiene todo el feeling de una guitarra que ha sido tocada,Fender,6.0,Artist,Telecaster,Spruce/Paulownia/Spruce,México,Road Worn Nitrocellulose Lacquer,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","Enhanced ""V""","Custom Shop ""Twisted"" Single-Coil Tele",Custom Brad Paisley Spec Vintage-Style Telecaster,885978782024.0,Gig Bag,SS,Road Worn Nitrocellulose Lacquer,,648.0,241.0
"Fender Artisti Jim Root, Jazzmaster V4, Arctic White, Guitarra Eléctrica con case",35667.0,Disponible,0145301780,"Para riffs pesados de heavy metal, la Jim Root Jazzmaster V4 ofrece un tono desafiante con un aspecto nuevo y audaz. Trabajamos en estrecha colaboración con el imponente guitarrista de Slipknot para crear un modelo característico de Jazzmaster que suene brutal y que complemente su estilo de toque",Fender,6.0,Artist,Jazzmaster,Mahogany,México,Satin Urethane,Maple,Jumbo,Ebony,"25.5"" (648 mm)",22.0,"12"" (305 mm)","Thin ""C""",EMG Jim Root Signature Daemonum Open-Coil Active Humbucking,EMG Jim Root Signature Daemonum Open-Coil Active Humbucking,885978511433.0,CASE,HH,Satin Urethane,,648.0,305.0
"Fender Artist Brad Paisley Esquire, Telecaster, Black Sparkle, Guitarra Eléctrica con gig bag",33939.0,Disponible,0140322398,"La superestrella de la música country galardonada Brad Paisley unió fuerzas con Fender para darle un giro a una guitarra legendaria. La Brad Paisley Road Worn® Esquire® es audaz, resonante y agrega algo más al tradicional caballo de batalla de principios de la década de 1950. La Brad Paisley Esquire",Fender,6.0,Artist,Telecaster,Spruce/Paulownia/Spruce,México,Road Worn Nitrocellulose Lacquer,Maple,Medium Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","Enhanced ""V""",Seymour Duncan Custom Shop Brad Paisley Secret Agent,Custom Brad Paisley Spec Vintage-Style Telecaster,885978732296.0,Gig Bag,SS,Road Worn Nitrocellulose Lacquer,,648.0,241.0
"Fender Artist Chrissie Hynde, Telecaster, Ice Blue Metallic, Guitarra Eléctrica con case",31815.0,Disponible,0140310783,"Originaria de Akron, Ohio, la guitarrista y cantante de The Pretenders fue la responsable de poner las bases del punk rock colegial de los años 80. Ya que siempre ha sido una gran fan de las Telecaster, Fender decidió rendirle tributo a la gran Chrissie Hynde con la Chrissie Hynde Signature",Fender,6.0,Artist,Telecaster,Alder,México,Road Worn Nitrocellulose Lacquer,Maple,Vintage Tall,Rosewood,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","Mid '60s ""C""",Vintage-Style '50s Single-Coil Tele,Vintage-Style '50s Single-Coil Tele,885978436309.0,CASE,SS,Road Worn Nitrocellulose Lacquer,,648.0,184.1
"Fender Artist J Mascis, Telecaster, Blue Sparkle, Guitarra Eléctrica con Gig bag",29691.01,Disponible,0140262326,"Dinosaur Jr tomó la formula mas tradicional del rock y la volteó de cabeza. En sus canciones los altos decibeles y el ruido crearon gigantescas montañas de sonido alrededor de letras emotivas. Esta ha sido la formula de su éxito y de que, hoy en día, nuevas generaciones de músicos sigan considerando",Fender,6.0,Artist,Telecaster,Alder,México,Gloss Polyester,Maple,Jumbo,Maple,"25.5"" (648 mm)",21.0,"9.5"" (241 mm)","""C"" Shape",J Mascis Custom ’58 Tele Single-Coil,J Mascis Custom ’58 Tele Single-Coil,885978487233.0,Gig Bag,SS,Road Worn Nitrocellulose Lacquer,,648.0,241.0
"Fender Kenny Wayne Shepherd, Stratocaster, Transparent Faded Sonic Blue, Guitarra Eléctrica con case",48518.0,Disponible,0117510811,"Las pistas de fuego, los ritmos pegajosos y las canciones duras de Kenny Wayne Shepherd han impulsado su sólida carrera a través de nueve discos en solitario: tres platino certificados, giras importantes con Buddy Guy, Van Halen y The Rolling Stones, y una colaboración continua con el supergrupo de",Fender,6.0,Artist,Stratocaster,Chambered Ash,EEUU,Gloss Nitrocellulose Lacquer,Quartersawn Maple,Jumbo,Rosewood,"25.5"" (648 mm)",21.0,"7.25"" (184.1 mm)","Early '60s ""C""",Custom-Voiced Kenny Wayne Shepherd Single-Coil Strat,Custom-Voiced Kenny Wayne Shepherd Single-Coil Strat,885978311699.0,CASE,SSS,Gloss Nitrocellulose Lacquer,Custom-Voiced Kenny Wayne Shepherd Single-Coil Strat,648.0,184.1
"Gibson Tribute, Les Paul, Satin Tobacco Burst, Guitarra Eléctrica con gig bag",32100.0,Disponible,LPTR00WONH1,"Las guitarras Gibson son símbolo de calidad y superioridad musical y la Les Paul es considerada por muchos la mejor guitarra eléctrica de la historia.  La GIBSON LES PAUL TRIBUTE, SATIN TOBACCO BURST, es el homenaje perfecto a este instrumento legendario y no tendrás que vender tu casa para",Gibson,6.0,MODERN,Les Paul,Mahogany,EEUU,Satin Nitrocellulose Lacquer,Maple,Super Jumbo,Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Rounded,490R,490T,711106035468.0,Gig Bag,HH,,,629.0,305.0
"Gibson Special, Les Paul, TV Yellow, Guitarra Elétrica zurda con case",44450.01,Disponible,LPSP00LTVNH1,"Las guitarras Gibson son símbolo de calidad y superioridad musical. Su primera guitarra tipo solida, la Les Paul, es su modelo mas popular. También es considerada por muchos como la mejor guitarra eléctrica de todos los tiempos. No por nada guitarristas como Slash, Zakk Wylde, Neil Young, Jimmy",Gibson,6.0,,Les Paul,Mahogany,EEUU,Gloss Nitrocellulose Lacquer,Mahogany,Medium Jumbo,Rosewood,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Vintage 50's,P-90,P-90,711106036052.0,CASE,,,,629.0,305.0
"Epiphone Muse, SG, Smoked Almond Metallic, Guitarra Eléctrica",10700.0,Disponible,ENMSSAMNH1,"La Epiphone SG ™ Muse de la nueva colección Inspired by Gibson ™ presenta un perfil SG clásico con un cuerpo de caoba impulsado por humbuckers ™ Alnico Classic PRO ™ de alto rendimiento con controles de fase y división de bobina, además de un circuito de sangrado de agudos para mantener la claridad",Epiphone,,Epiphone Inspired by Gibson,SG,Mahogany,China,Metallic Gloss,Mahogany,Medium Jumbo,Indian Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Asymmetrical Slim Taper,Alnico Classic PRO,Alnico Classic PRO,711106477046.0,NO INCLUYE,,,,629.0,305.0
"Epiphone Extura Prophecy, Yellow Tiger Aged Gloss, Guitarra Eléctrica",22220.0,Disponible,EIXYYTABNH1,"La colección Epiphone Prophecy, recientemente renovada, presenta formas de cuerpo icónicas Inspired by Gibson ™ con un toque moderno para los músicos que buscan romper la tradición y establecer nuevos estándares en velocidad, sonido y técnica. El nuevo estilo de cuerpo Extura combina la Gibson",Epiphone,6.0,Prophecy Extura,Extura,Mahogany,China,Aged Gloss,Mahogany,Jumbo,Ebony,"24.72"" (628 mm)",24.0,"12"" (305 mm)",Asymmetrical Slim Taper,Fishman Fluence Proprietary,Fishman Fluence Proprietary,711106040141.0,NO INCLUYE,,,,628.0,305.0
"Epiphone Prophecy, SG, Black Aged Gloss, Guitarra Eléctrica",22220.0,Disponible,EISYBAGBNH1,"A principios de la década de 1870, en Turquía, el griego Anastasios Stathopoulo fundó su propia compañía para crear y vender violines, laudes y lioutos. En 1903 mudó su compañía a Estados Unidos. Esta fue creciendo gradualmente hasta convertirse en una de las marcas mas importantes de instrumentos",Epiphone,6.0,Prophecy SG,SG,Mahogany,China,Aged Gloss,Mahogany,Medium Jumbo,Ebony,"24.72"" (628 mm)",24.0,"12"" (305 mm)",Asymmetrical Slim Taper,Fishman Fluence Proprietary,Fishman Fluence Proprietary,711106040219.0,NO INCLUYE,,,,628.0,305.0
"Epiphone Prophecy, Les Paul, Black Aged Gloss, Guitarra Eléctrica",22220.0,Disponible,EILYBAGBNH1,"La colección Epiphone Prophecy recientemente renovada presenta formas de cuerpo icónicas inspiradas en Gibson ™ con un toque moderno para jugadores que buscan romper la tradición y establecer nuevos estándares en velocidad, sonido y técnica. Al frente y en el centro hay un par de pastillas Fishman",Epiphone,6.0,Les Paul Prophecy,Les Paul,Mahogany,China,Gloss,Mahogany,Jumbo,Ebony,"24.72"" (628 mm)",24.0,"12"" (305 mm)",Asymmetrical Slim Taper,,Fishman Fluence Epiphone Prophecy Bridge,711106039053.0,NO INCLUYE,,,,628.0,305.0
"Epiphone Modern, Les Paul, Figured Caffe Latte Fade, Guitarra Eléctrica",17440.0,Disponible,EILMFCLFNH1,"A principios de la década de 1870, en Turquía, el griego Anastasios Stathopoulo fundó su propia compañía para crear y vender violines, laudes y lioutos. En 1903 mudó su compañía a Estados Unidos. Esta fue creciendo gradualmente hasta convertirse en una de las marcas mas importantes de instrumentos",Epiphone,6.0,Epiphone Inspired by Gibson,Les Paul,Mahogany,China,AAA Flame Maple (figured),Mahogany,Medium Jumbo,Ebony,"24.75"" (629 mm)",22.0,"12"" (305 mm)",Custom C,ProBucker 2 humbucker with Coil-splitting,ProBucker 3 humbucker with Coil-splitting,711106013848.0,NO INCLUYE,,,,629.0,305.0
"Epiphone Standard 1961, Les Paul SG, Aged Classic White, Guitarra Eléctrica con case",22220.0,Disponible,EIGC61SGACWNH1,"A principios de la década de 1870, en Turquía, el griego Anastasios Stathopoulo fundó su propia compañía para crear y vender violines, laudes y lioutos. En 1903 mudó su compañía a Estados Unidos. Esta fue creciendo gradualmente hasta convertirse en una de las marcas mas importantes de instrumentos",Epiphone,6.0,Epiphone Inspired by Gibson,SG,,China,Aged Gloss,1-Piece Mahogany,Medium Jumbo,Indian Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)",SlimTaper C,BurstBucker 2,BurstBucker 3,0.0,CASE,,,,629.0,305.0
"Jackson JS Series, Dinky, Transparent Green Burst, Guitarra Eléctrica",6669.0,Disponible,2918809587,"Rápidas, mortales y asequibles, las guitarras Jackson® JS Series dan un salto épico hacia adelante, lo que hace que sea más fácil que nunca obtener el tono, el aspecto y la capacidad de interpretación clásicos de Jackson sin romper el banco. La parte  superior de arco Dinky ™ de la serie JS JS32Q",Jackson,6.0,JS,Dinky,Poplar,China,Gloss,Maple,Jumbo,Amaranth,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978762415.0,,HH,Satin,,648.0,304.8
"Jackson JS Series, Monarkh, Negro Satín, Guitarra Eléctrica",5557.5,Disponible,2916902568,"El clásico y familiar estilo single cutaway se fusiona con un sonido potente y el ilustre legado de Jackson de diseño y construcción de vanguardia para una guitarra de primera categoría. Ya sea que juegues con tonos limpios y nítidos o con una distorsión gruesa y muy saturada, la serie JS Monarkh SC",Jackson,6.0,JS,Monarkh,Mahogany,China,Satin,Maple,Jumbo,Amaranth,"24.75"" (629 mm)",22.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978977239.0,NO INCLUYE,HH,Satin,,629.0,304.8
"Jackson Concept Series, Soloist, Sat Bourbon Burst, Guitarra Eléctrica con case",46141.5,Disponible,2915353520,"El totalmente nuevo Concept Series Soloist™ SLAT7P HT MS es un instrumento descarado e innovador dotado de un tono agresivo, una facilidad de ejecución sin esfuerzo y un valor superior. Un cuerpo de fresno elegantemente contorneado con una parte superior de madera de álamo y una construcción de",Jackson,7.0,Concept Series,Soloist,Ash,Corea,Satin,5-Piece Maple/Wenge/Maple/Wenge/Maple,Jumbo,Ebony,"25.5"" - 27"" Multi-Scale (648 mm - 686 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Fishman Fluence Modern PRF-MH8,Fishman Fluence Modern PRF-MH8,885978754014.0,,HH,Satin,,648.0,304.8
"Jackson JS Series, Rhoads JS32T, Satin Black, Guitarra Eléctrica",7039.5,Disponible,2910147586,"La JS Series Rhoads JS32T tiene un cuerpo de álamo y un mástil de velocidad de arce atornillado con refuerzo de grafito y articulación de bufanda para una estabilidad sólida como una roca. Con 24 trastes gigantes e incrustaciones de aleta de tiburón perlada, el diapasón de amaranto compuesto de",Jackson,6.0,JS,Rhoads,Poplar,China,Satin,Maple,Jumbo,Amaranth,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978977000.0,,HH,Satin,,648.0,304.8
